Param;Value
Dropout1;0.1123772000624866
Dropout2;0.0753434427350136
Dropout3;0.1672300096392386
Nodes1;48
Nodes2;31
Nodes3;8
Reg1;0.050097187138201896
Reg2;0.06392021312935936
Reg3;0.0005579198964195675
batch_size;27
loss_fn;<function custom_loss1 at 0x7f1e2c6678c0>
lr;0.005346461935926703
momentum;0.052594732825935964
nesterov;False
window_size;150
